Designator,Mid X,Mid Y,Rotation,Layer
BT1,97.8285,-53.744416,-90.0,bottom
C1,119.6725,-81.176416,180.0,bottom
C2,91.2245,-66.825416,180.0,bottom
C3,119.5455,-62.126416,180.0,bottom
C4,113.03,-65.936416,180.0,bottom
C6,113.0685,-58.570416,0.0,bottom
D1,113.1955,-62.253416,180.0,bottom
D2,119.5455,-65.809416,180.0,bottom
IC1,97.7015,-77.620416,180.0,bottom
J1,113.8305,-36.218416,-90.0,top
J2,120.2055,-38.021416,0.0,top
J3,105.5605,-89.506416,0.0,top
LS1,113.58875,-42.568416,180.0,bottom
R1,91.2245,-74.064416,180.0,bottom
R10,119.5455,-73.810416,180.0,bottom
R11,113.1805,-77.620416,180.0,bottom
R12,119.5455,-70.000416,180.0,bottom
R13,91.2245,-81.684416,180.0,bottom
R14,97.3205,-85.494416,0.0,bottom
R15,93.7645,-50.950416,0.0,top
R16,119.5455,-58.570416,0.0,bottom
R2,113.1805,-70.000416,180.0,bottom
R3,119.5305,-85.240416,180.0,bottom
R4,91.1985,-77.874416,180.0,bottom
R5,113.13312,-85.240416,180.0,bottom
R6,113.1805,-73.810416,180.0,bottom
R7,91.2245,-70.127416,180.0,bottom
R8,119.5305,-77.620416,180.0,bottom
R9,97.3205,-81.684416,180.0,bottom
S1,116.3555,-70.456416,0.0,top
S2,94.7655,-70.456416,0.0,top
S3,105.5605,-79.144416,180.0,top
S4,113.7035,-52.728416,180.0,bottom
U1,105.5605,-69.492416,0.0,top
U2,105.5605,-69.492416,90.0,top
